program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
ALL GRADES,3,Q183,PS 183,DAISY TORRES / RYNTHA HENDERSON AMARE,"Monday, November 5","Wednesday, November 7",K171,I.S. 171,,528 RIDGEWOOD AVENUE,BROOKLYN,,2-45 BEACH  79 STREET Queens NY 11693,40.58925,-73.805327,Q183 ALL GRADES
ALL GRADES,3,Q333,GOLDIE MAPLE ACADEMY,ANGELA LOGAN,"Monday, November 5","Wednesday, November 7",Q126,I.S. 126,,31-51 21 STREET,QUEENS,,3-65 BEACH 56 STREET Queens NY 11692,40.590368,-73.785512,Q333 ALL GRADES
ALL GRADES,3,Q207,PS/MS 207 QUEENS,LINDA SPADARO,"Monday, November 5","Wednesday, November 7",K422,Spring Creek Educational Campus,,1065 ELTON STREET,BROOKLYN,,159-15 88 STREET Queens NY 11414,40.658148,-73.844451,Q207 ALL GRADES
ALL GRADES,3,Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,DANA GERENDASI,"Monday, November 5","Wednesday, November 7",Q400,AUGUST MARTIN HS,,156-10 BAISLEY BOULEVARD,QUEENS,,190 BEACH 110 STREET Queens NY 11694,40.580749,-73.831718,Q317 ALL GRADES
ALL GRADES,3,Q318,WATERSIDE SCHOOL FOR LEADERSHIP,LINDA MUNRO,"Monday, November 5","Wednesday, November 7",Q400,AUGUST MARTIN HS,,156-10 BAISLEY BOULEVARD,QUEENS,,190 BEACH 110 STREET Queens NY 11694,40.580749,-73.831718,Q318 ALL GRADES
ALL GRADES,3,Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,PATRICIA J. TUBRIDY,"Monday, November 5","Wednesday, November 7",K420,FRANKLIN K. LANE HS,,999 JAMAICA AVENUE,BROOKLYN,,100-00 BEACH CHANNEL DRIVE Queens NY 11694,40.586179,-73.822487,Q262 ALL GRADES
ALL GRADES,3,Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,JENNIFER CONNOLLY,"Monday, November 5","Wednesday, November 7",Q585,MASPETH HS,,54-40 74TH STREET,QUEENS,,100-00 BEACH CHANNEL DRIVE Queens NY 11694,40.586179,-73.822487,Q324 ALL GRADES
ALL GRADES,3,Q351,ROCKAWAY COLLEGIATE HIGH SCHOOL,ROBERT YOUNG JR,"Monday, November 5","Wednesday, November 7",Q465,FAR ROCKAWAY HS,,8-21 BAY 25 STREET,QUEENS,,100-00 BEACH CHANNEL DRIVE Queens NY 11694,40.586179,-73.822487,Q351 ALL GRADES
ALL GRADES,3,Q410,BEACH CHANNEL HIGH SCHOOL,DAVID MORRIS,"Monday, November 5","Wednesday, November 7",K420,FRANKLIN K. LANE HS,,999 JAMAICA AVENUE,BROOKLYN,,100-00 BEACH CHANNEL DRIVE Queens NY 11694,40.586179,-73.822487,Q410 ALL GRADES
ALL GRADES,3,Q078,P.S. 078,LOUIS PAVONE,"Monday, November 5","Wednesday, November 7",Q076,P.S. 76,,36-36 10 STREET,QUEENS,,48-09 CENTER BOULEVARD Queens NY 11109,40.744886,-73.958038,Q078 ALL GRADES
ALL GRADES,3,R002,I.S. R002 GEORGE L. EGBERT,ADRIENNE STALLONE,"Monday, November 5","Wednesday, November 7",R435,NEW DORP HS,,465 NEW DORP LANE,STATEN ISLAND,,333 MIDLAND AVENUE Staten Island NY 10306,40.576692,-74.100628,R002 ALL GRADES
GRADE 6,3,R024,I.S. 024 MYRA S. BARNES,Lenny Santamaria,"Monday, November 5","Wednesday, November 7",R036,P.S. 36,,255 IONIA AVENUE,STATEN ISLAND,,225 CLEVELAND AVENUE Staten Island NY 10308,40.545232,-74.146291,R024 GRADE 6
GRADE 7,3,R024,I.S. 024 MYRA S. BARNES,Lenny Santamaria,"Monday, November 5","Wednesday, November 7",R075,I.S. 75,,455 HUGUENOT AVENUE,STATEN ISLAND,,225 CLEVELAND AVENUE Staten Island NY 10308,40.545232,-74.146291,R024 GRADE 7
GRADE 8,3,R024,I.S. 024 MYRA S. BARNES,Lenny Santamaria,"Monday, November 5","Wednesday, November 7",R004,P.S. 4,,200 NEDRA LANE,STATEN ISLAND,,225 CLEVELAND AVENUE Staten Island NY 10308,40.545232,-74.146291,R024 GRADE 8
"GRADES PK, K,1",3,R052,P.S. 052 JOHN C. THOMPSON,JANE MCCORD,"Monday, November 5","Wednesday, November 7",R057,P.S. 57,,140 PALMA DRIVE,STATEN ISLAND,,450 BUEL AVENUE Staten Island NY 10305,40.582791,-74.088611,"R052 GRADES PK, K,1"
GRADES 2-5,3,R052,P.S. 052 JOHN C. THOMPSON,JANE MCCORD,"Monday, November 5","Wednesday, November 7",R880,P.S. 80 (PETR COMPL-BLDG B),,715 OCEAN TERRACE,STATEN ISLAND,,450 BUEL AVENUE Staten Island NY 10305,40.582791,-74.088611,R052 GRADES 2-5
,2,M015,P.S. 015 Roberto Clemente,Irene Sanchez,,,,,,,,,333 EAST  4 STREET Manhattan NY 10009,40.721924,-73.979295,M015 
,2,M019,P.S. 019 Asher Levy,Jacqueline Flanagan,,,,,,,,,185 1 AVENUE Manhattan NY 10003,40.729651,-73.983824,M019 
,2,M301,"Technology, Arts, And Sciences Studio",James Lee,,,,,,,,,185 1 AVENUE Manhattan NY 10003,40.729651,-73.983824,M301 
